PLX,FSI,SMTI,SCWO,EPM,FNLC,FNWD
0,0,0,0.66666626,0,0,0
0,0,0,-0.199999561,0.235294009,-0.027541421,0
0,0,0,0,1.952381236,-0.015624876,0
0,0,0,0.249999313,-0.396774285,0,0
0,0,0,0,0,0,0
0,0,1,0,-0.165775163,0,-0.034883684
0,0,0,0,0.198717607,0.015872888,0
0,0,-0.25,0,-0.165775163,0,0
0,0,0.666666667,0.100000513,0,0,0
-0.857142857,0,0.6,0.272727212,0,0,0
5,0,0.5,2.142856769,0.089743435,0,0
-0.333333333,0,-0.083333333,0.09090903,-0.047058881,0.015624988,0
0,0,0.454545455,0.125,-0.074073962,-0.015384604,0
0,0,0.5,0,0.246666411,-0.015624876,0
0,0,0.041666667,0.111111111,-0.304812636,0,0.024096558
0,0,-0.16,0.033333374,0,0,0
0,0,0.047619048,0,0,0,0.023529187
0,0,-0.090909091,-0.161290395,0.676923117,0,0
0,0,0,-0.230769242,0,-0.015873001,-0.022988292
0,0,-0.05,-0.19999989,0,0,0
0,0,-0.105263158,0,0,0,0
0,0,-0.117647059,0,0,0,0
0,0,0,0.249999828,0,0,0
0,0,0,0.300000018,0,0,0
0,0,0,-0.346153862,-0.403669739,-0.006048209,0
0,0,0,0,0.053845975,0,0.023529187
0,0,0,0,-0.087591187,0,0
0,1.500000136,-0.133333333,0,0,0,-0.011494241
0,0,0.076923077,0.411764807,0,0.014198709,0
0,-0.666666658,0,0.083333282,0,0,0
-0.25,0,-0.142857143,0,0,0,0
0,1,-0.166666667,0,0,-0.015999755,0
0,0,0,0.076923174,0.744000233,0.01625991,0
0,0,0,0.28571423,0,-0.023999861,0
0,0,0.2,0,0,0,0
0,0,-0.166666667,-0.111111145,0,0,0
0,0,0.1,0,0,0,0
0,0,1.090909091,-0.156249968,0,0.024590018,0
0,-0.75,-0.043478261,0.203703749,0,-0.023999861,0
0,0,0.090909091,0.046153844,0,0.024590018,0
0,0,0.041666667,0.058823491,0,-0.039999616,0
0,0,0.04,0,0.146788837,0,0
0,0,0.384615385,0.555555522,0,-0.016666702,0
0,0,-0.083333333,-0.071428529,0.500000045,0,-0.046511483
0,0,-0.151515152,0.038461514,0.146666396,0,0.060975435
0,0,0.035714286,0.055555556,0,0,0
0,0,-0.206896552,-0.105263158,0,0,0
0,0,0.260869565,0.117647059,-0.465116146,0,0
0,0,-0.034482759,-0.105263158,0.630434761,0,0
0,3,-0.178571429,-0.058823529,-0.360000155,0,-0.057471109
0,0,0.217391304,-0.166666641,-0.041666422,0,0
0,0,-0.178571429,-0.299999991,0.043477994,0.016949189,0
-0.416666667,0,0,0.28571423,0,0,0
0,0,0.086956522,-0.222222188,0.041666888,0,0.024390315
0,0,-0.12,0.142857049,-0.127999883,-0.11666656,-0.023809592
0,0,-0.227272727,-0.124999928,0,0.132075335,0
-0.428571429,0,-0.117647059,0,0,0,0.036585422
0,0,0,0,0.10091705,0,0
0,0.150000029,0,0,-0.220833304,0,0
0,-0.565217402,0,0,0.165775761,-0.008334035,0
0,0,0,0,0.431192627,-0.008402696,0
0,1.300000057,-0.2,-0.035714328,-0.198718037,0,-0.105882414
1,0,0,0.037037082,0,-0.002568554,0
-0.625,0,-0.083333333,-0.035714328,0.371999714,0,0
0,0,-0.272727273,0.037037082,-0.090378719,0,0
0,0,0.375,-0.214285705,0,0,0
1.666666667,0,0,0.09090903,0,0,0
0,0,-0.090909091,-0.166666718,0,0.030042922,0
0,0,-0.2,0,0,0,0
0,0,0.25,0.100000128,0,0,0
0,0,-0.2,-0.136363629,-0.198718037,-0.033333396,0
0.5,0,0.125,-0.10526328,-0.127999883,0,0.078947383
0,0,-0.222222222,-0.05882339,0.146788837,0.034482826,0
0,0,0.428571429,0.062499843,-0.127999883,0,0
0,0,-0.2,0,0,-0.016666492,0
0,0,-0.125,-0.176470601,0,0.016948972,0
0,0,0,0,0,-0.016666492,0
0,-0.130434804,0,0,-0.215596365,0,0
0,0,0,0,0.315789395,0,0
0,0,0.285714286,-0.214285733,-0.306666611,0.016948972,0
0,0.249999939,-0.222222222,-0.090908879,0,0,0
0,0,0.285714286,-0.10000011,0,0,0
0,0,-0.444444444,0,0,-0.033333396,0
0,0,0,0,0,0.017241626,0
0,0,0,0.222222087,0,0,0
0,0,0,0,0.198717607,0.008474276,0.036585422
0,0,0,0,0,0,-0.011764691
0,0,0,0,0,0,-0.011904944
0,0,0,-0.181818091,0,0,-0.01204808
0,0,0,0.111111247,-0.165775163,0,0
0,0,0.6,0,-0.198718037,0,0
0,0,0,0,0,0,0
-0.333333333,0,-0.125,0,0,-0.008403067,0
0,0,0,1.099999744,0,-0.016949391,0
0,0,0,0.142857143,0,0,0
-0.75,0,0.571428571,-0.208333282,0,0,0
0,0,0.181818182,0,0.495999738,0,0
0,0,-0.307692308,0.052631447,0,0.008620935,0
0,0,0.111111111,0.050000064,-0.331550685,0.020298691,0
0,0,0.3,0,0,-0.019894852,0
0,0,0,0,0,0.025640843,0
0,0,0,0,-0.255999901,0,0
0,0,-0.153846154,0,0,-0.008333452,0
0,0,0,0,0.677419316,0.008403482,0
0,0,0.181818182,0,-0.198718037,0,0
0,0,0,0,0,0,0
1,0,-0.230769231,-0.047619106,0,0,0
0,0,0,0,0,-0.016666492,0
0,0,0.3,-0.19999989,0,0.025423189,0
0,0,-0.230769231,0.749999943,0,0,0
0,0,0.4,0.178571377,0,0,0
0,0,0,-0.090909091,0,0,0
0,0,0,0.133333374,0,0,0
0,0,-0.285714286,-0.0294118,0.248000137,-0.0165287,0
0.25,0.080000063,0,-0.090909091,0,0,0
0,0,0,0,-0.40384614,0,0
0,0,0,0.266666626,0,0,0
0,0,0.2,0.052631645,0,0,0
0,0,0.166666667,-0.175000025,0.344085842,0,0
0,0,-0.071428571,0.257575795,0,0,-0.006097654
0,0,0.230769231,-0.2048193,0,0.025209853,0
0,0,0.0625,0.060606024,-0.255999901,0,0
0,0,0.117647059,0,0,-0.001822524,0
0,0,-0.052631579,0,0,0,0
0,0,-0.055555556,0,0,0,0
0,0,-0.058823529,-0.057142824,0,0,-0.018404887
0,0,0.375,0,0,-0.004149926,0
0,0,-0.272727273,0,0,0,0
0,0,0.3125,0.075757613,0,0,0
0,0,-0.238095238,-0.154929607,0.677419316,0,0
0,0,0.0625,0.3,0,0,0
0,0,0,-0.05128202,-0.198718037,-0.008333041,0
0,0,0,-0.054054118,0,-0.008403417,0
0,0,-0.058823529,-0.02857136,0.040000115,0,0
0,-0.074074128,0,0.029411692,0.2,0,0
0,0,0.0625,0.142857218,0,0,0
0,0,0.117647059,0.124999966,0,0,0
2.2,0,-0.210526316,0.088888916,-0.198718037,-0.016949561,0
0,0,0,-0.081632676,0.248000137,0.025862553,0
0.875,0,0,-0.222222249,0,0,0
0,0,0,0,-0.166666667,0,0
0,0,0,0.142857218,0,0,0
0,0,0.2,0.099999936,0,0,0
0,0,-0.166666667,-0.181818159,0,0,0
0,0,0,-0.055555522,0,0,0
0,0,0,0,0.307692122,0,0
0,0,-0.066666667,0,-0.264705859,-0.016806716,0
0,0,0.071428571,-0.0294118,0,0.025640716,0
0,-0.119999963,-0.066666667,0.090909091,0,0,0
0,0,0.142857143,0,0.248000137,0,0
0,0,-0.1875,0.055555522,-0.198718037,0,0
-0.666666667,0,0,-0.026315726,0,0.016666898,0
0,0.136363589,-0.230769231,0.02702696,0,0,0
0,0,0,0.026315822,0,0.016393552,0
0.1,0,0.7,0,0,0,0
0,0,-0.411764706,-0.102564134,-0.200000125,0,0
0,0,0,-0.085714289,0.250000196,0,0
0,0,0.8,-0.124999928,-0.040000204,0,0
0,-0.279999958,0.055555556,-0.035714328,0.041666888,0,0
0,1.333333212,-0.210526316,0,-0.192000138,0,0
0,-0.16666668,0,0,0.237623974,-0.008064794,0
0,0.314285824,0,0.037037082,0,0,0
0,0.969565132,0,-0.035714328,0,0.008130364,0
0,0.048565136,0.266666667,0.18518514,0,0,0
0,-0.105263201,0.210526316,-0.124999928,-0.200000125,0,0
0,-0.10588234,-0.304347826,0,0.10000019,0,0
0,-0.096052644,-0.0625,0,0.136363618,0,0
0,0,0,0.464285607,0,0,0
0,0.273653582,0,0,0.399999982,0,0.031250068
0,-0.091428493,0.533333333,0.024390274,0.428571447,0,0
0,0.021383537,-0.347826087,-0.047619019,0,0,0
0,0,0,-0.100000027,-0.252000131,0,0
0,-0.11330043,0.266666667,0,0.33689863,0,0
0,0.013888876,0.157894737,0,0.399999982,0.016128687,0
0,0,-0.318181818,0,0.028571575,0.015873014,0
-0.272727273,0,0,0,1.083333126,0,0
0,-0.054794561,0.2,0,-0.291999983,0,0
0,0.176811576,0.111111111,0.027777812,0.177024314,0,0
0,0.022167437,-0.25,0.054054019,-0.150399879,-0.054687439,0
0,0,0,-0.128205097,-0.039548062,0,0
0,-0.024096288,0.466666667,-0.0294118,0.286274352,0,0
0,0,-0.090909091,-0.030303067,-0.190548648,0,0
0,-0.151851887,0.1,-0.124999928,-0.227871834,-0.008264519,0
0,0,0,0.035714197,-0.085366,0,0
0,0,0.136363636,-0.10344828,0.082666621,0.033333679,0
1,0,-0.12,0,-0.014778467,-0.008064794,0
-0.5,0,-0.090909091,0,0.015000146,0.024390183,0
0,-0.061135262,0.1,0,-0.137931034,0,0
0,0,-0.181818182,0.076923174,0,0,0
0,0.038759703,-0.055555556,-0.071428656,0,-0.037226662,0
0,0,-0.176470588,-0.076923034,-0.057142574,0,0
0,-0.014925456,0.357142857,-0.125,-0.030303244,0,0
0,0,0.052631579,-0.047619106,0.093749913,0,0
0,0,-0.35,-0.150000009,-0.085714213,0,0
-0.25,0.08787867,0.076923077,-0.05882339,-0.024999958,0,0
0,0,0,-0.062500072,0,0.008333891,0
0,0,0,-0.133333252,0,0,0
0,0,0,0,-0.301282035,0,0
0,-0.12952637,0.428571429,0.730769068,0.146788837,0,0
0,0,-0.3,-0.111111165,-0.204000164,0,0
0,0,0,-0.099999945,-0.060301479,-0.008265012,0
0,0,0,0,0,0,0
0,0,0,0,-0.304812636,-0.016666054,0
0,0.280000013,0.428571429,0,0,0,0
0,0,0.1,0,0,0,0
0.333333333,0,-0.136363636,0,0,0.016948519,0
0,0,-0.210526316,0,0,0,0
0,0,0,0.055555623,0.076922859,0,0
0,0,0,-0.157894727,0.285714571,0,-0.042424492
0,0,0,-0.125000143,0,0,0
0,0,-0.2,0.14285733,-0.13333335,-0.016666054,0
0,0,0.416666667,0,0,0,0
-0.375,0,-0.117647059,0,0.217948343,0,0
0,0,0,-0.062500072,-0.178947116,0,0
0,0,0.266666667,0.133333252,0,0,0
0,0,-0.105263158,0.117647211,-0.166666667,0.016948519,0
0,0,-0.058823529,0.263157814,0.038461558,0,0
0,0,-0.0625,-0.270833282,0.037036807,0.033333606,0
0,0,0,0,0,0,0
0,0,0.266666667,0,0,0,0.04430407
0,-0.050000037,-0.210526316,0,0,0,0
0,0,0.266666667,0,-0.071428383,0,0
0,0,-0.157894737,0.428571399,0,0,0
0,0,0.1875,0,0,0,0
0,0,-0.157894737,-0.200000088,0,-0.016129216,-0.054545389
0,-0.013157883,-0.125,0,0,0,0
0,0,0.071428571,0,0,0,0
0,0,0.066666667,-0.150000009,-0.038461644,0,0
0,0,0,0,0,0,0
0,-0.013333322,0.1875,0.176470601,-0.119999986,0.032786924,0
0,-0.013513502,-0.052631579,0,-0.154545356,-0.031746068,0
0,0.013698618,0.111111111,0,-0.172043252,0,0
0,0,0.25,-0.150000009,0.298701301,0,0
0,0,-0.04,0,-0.199999821,0,0
0,-0.155405401,-0.041666667,-0.05882339,0,0,0
0,0,-0.086956522,0,0,0,0
0.2,0,0.095238095,0,0,0,0
0,0.119999946,-0.086956522,-0.062500072,-0.062500035,0,0
0,0,0.047619048,0,0,0,0
0,0,-0.045454545,0.066666748,0,0,0
0,0.0428572,0.142857143,0,0,0,0
0,0,0,0.124999914,-0.173333422,0,0
0,0.027397236,-0.166666667,0.055555623,0.016128917,0,0
0,-0.084000023,-0.05,-0.157894727,0.11111122,0.012295451,0
0,0.179039349,-0.052631579,0,0.285714571,0,0.025640887
0,-0.024691417,0.111111111,-0.062500072,-0.222222395,0,0
0,-0.091139281,-0.15,0.133333252,0.285714571,0.004048404,0
0,0,-0.117647059,0,-0.311111253,0,0
0,0,0,-0.176470601,0,0,0
0,0,0,0,0,-0.000489416,0
0,-0.043175426,0,0.071428665,0.129032241,0,0
