YOTA,MNTN,RENE,TGAA,PLAO,CLRC,RFAC,THCP,AITR,SVII,LATG,ATMV,GDST,ALCY,FORL,IPXX,TLGY,SKGR,DUET,ENV,FTEL,BMR,SEZL,INSG,SWIN,NVAC,IROH,CSLM,NOVV,DAVE,LUNR,DJT,IBIO,AQU,DRUG,ATER,MBRX,TECX,HOLO,IVCP,ESHA,MARX,CBRG,VMCA,AY
0.00384615,0,0,0.005434821,0,0.002700332,0,0,0.000986122,-0.000368841,0,0,0,0,0,0.001926734,0,0.000923382,0,-0.023987148,-0.219512206,-0.099999974,-0.009345741,-0.04347822,-0.096085404,0,0,0,0,-0.025522073,-0.050847411,-0.000573079,-0.02173911,0.007483712,-0.091897787,-0.042979986,0.028138488,0.013888875,-0.097765365,0,-0.000878117,0.001409717,0.00183819,0,-0.014097798
-0.001915661,0,0.000911511,0.000450375,0.000899301,0,0,0,0.002955733,0,0,0,-0.001385073,0.002780377,0,-0.004326931,0,0.00092253,0,0.00206531,0,0.043209909,-0.04716981,0,-0.007874008,0,0,0,0,-0.013095198,-0.058035765,-0.005160559,-0.022222201,-0.001857053,0.023952145,-0.020958082,-0.042105224,0.013698617,-0.040247655,0,0,0.000469274,0.001834904,0,-0.000953311
0.002879053,0,0,-0.00090043,0,0,0,-0.000978496,0,-0.00092253,0,0,0,0,0,0.002414348,0,0,0,-0.004946448,0.015624985,0.130177457,-0.029702988,-0.090909111,-0.0079365,0,0,0,0,0,0.090047425,-0.006916475,-0.02272734,0,-0.005847948,-0.027522947,-0.076923132,-0.006756804,-0.100000012,-0.001839881,0,-0.000938108,0.002747228,0,0
0,0,0,0.009463681,0.001796901,-0.000897687,0,0,9.82E-05,0.001846764,0,0.000933728,0,0,0.007604555,0.001926734,0.000902548,0,-0.002727248,0.062344702,0.015384693,-0.020942389,-0.046428563,0.100000024,0,0.010752678,0,0.000918207,0.006550202,0.077201489,-0.004347822,0.000580396,0.007751931,0,0.105882319,-0.003144614,-0.144047614,-0.01360543,-0.129032274,-0.00092168,0.00195317,0.000938989,-0.001643804,0,0.008587801
0,0.002749746,0.000910768,-0.00892852,0,-0.002695394,0,0,0.000883982,0.000921592,0,0,0,-0.000382418,-0.002830253,-0.000961469,0,0,0,-0.000779897,-0.090909091,-0.037433183,-0.098983431,0,-0.056000042,0,0,0,0,-0.008958558,0.004366808,-0.00058006,0.023076994,0.0065116,0.06329785,0.006309161,0.001390886,-0.020689581,0.222222292,0,0.001949269,0,-0.001097703,0,-0.001419053
0,-0.001736751,0.000909939,0,0,0,0,0.000979454,0,0.000920831,0,0,-0.004160807,0.001434753,0.000946095,0.000962394,0.00360685,0,-0.000911598,-0.01209754,-0.1333334,-0.105555524,-0.02078387,-0.090909111,-0.105932208,0,0,0,0,0.097175098,0.230434775,-0.008705724,-0.015037669,0,-0.019509713,-0.028213176,0.038888883,0.021126683,-0.08080813,0,-0.002918262,0,0,0,-0.014211328
0,-9.15E-05,-0.000909112,0.005405357,0,0,0.000931988,0.001956899,0,-0.000919984,0,0,0,0.002865304,-0.002835514,0,0,0.000921592,0,0.008690472,-0.08461533,0.006211174,0.030927849,0,0.118483418,0,0,0,0,-0.031925893,-0.155476972,-0.009367673,-0.061068647,0.015711653,-0.045918383,-0.064516163,-0.0508022,-0.020689581,-0.018315019,0,0,-0.000938108,0,0,-0.02450746
0.004784707,0.000915772,0.000909939,-0.004480304,-0.002062759,0.005405357,0,0,0.000490688,0.000460416,0,0.001865625,0,-0.002857117,0.001895688,-0.000769175,0,0,0,-0.015468982,-0.075630278,-0.012345667,0.074117661,-0.050000012,-0.055084696,0,0,0,0,0.038297939,0.071129636,0.023640639,-0.048780537,0,0.032620315,0.017241363,0,-0.007042302,-0.055970151,0.001844973,0,0.004694854,0.000915772,0,0
0.00380952,0.002744715,0,0,0,-0.000896078,0,-0.001953077,-0.000490448,0.001380611,0,0.00093112,0,0.000955041,0,-0.004041553,0.000898493,0,0.002737202,-0.007557623,0.125000017,-0.093749984,0.136363622,0,0.139013426,0,0,0,0,0.048155666,0.011718739,0.290415749,-0.025641002,0,0.009839489,-0.016949137,-0.07042247,-0.049645399,-0.011857678,0,0.000975632,-0.003738314,0.000457467,0,-0.015763532
0,-0.002737202,0,0,0,0.004484322,0,0,0.000981377,0,0.00362647,0,0,0,0.000946095,0.002415422,0,0,0.000909939,-0.01683367,0.363636375,-0.041379352,0.171084301,-0.052631592,-0.025590574,-0.011524833,0,0,0,0.017595339,0,0.031319859,-0.052631529,-0.018198345,0.025641001,0.006896566,-0.060606091,0,-0.075999985,-0.002762406,0,0.000938108,0.003200718,0,-0.034534467
0,0.003659649,0,0.000900111,0,-0.000892878,0,0,0,-0.000919139,0,0.000930254,0,0.00095422,0,-0.001445816,0,-0.000920744,0,-0.002038367,0.229629583,0.079136702,0.301646097,0,0.094949553,0,0,0,-0.001301466,0.147934677,-0.007722001,0.109761422,0,0.00648746,-0.047500014,-0.013698658,-0.109677449,0,-0.047619063,0,0,0.000937229,0,0.000893676,0.00777603
0.003795063,0,0.000909112,0,0,0,0,0.000978403,0.000980415,-0.000459992,0,0,0,0,0,0.000965273,0.002692974,0,0,0.036151971,0.096385596,-0.033333302,0.165349402,0,0.136531321,0,0,0,0,0.029288735,0.015564188,0.031274403,-0.018518611,0,0.016272976,0.031250013,-0.009057963,-0.007462679,-0.077272762,0.001846764,0.000974681,-0.000468175,0,0.006250058,-0.004629637
0,0,0.000908286,0,0,-0.002680941,0.004655511,0,0,0.000460204,0.002710089,0,0,0.000953311,0,0,0.002506703,0,0,0.010841696,0.423076835,-0.027586262,-0.001356463,0,0.155844166,0,0,0,0,0.2,0.07279696,0.883623965,0.009434066,-0.005985229,-0.00826448,0.013468041,-0.082266942,-0.01503758,0.083743883,0,-0.000973732,0.000468395,0,0,0.007751918
-0.006805251,0,0,0,0,0.039426572,0,0,0,0.000919984,-0.000900921,0,0.005570981,0.009523846,0.002835514,0,0,0.018894002,0,0.002730097,0.003861,0.062411391,-0.093181206,0.05555557,-0.080898841,0,0,0.004587174,0,0.138888835,-0.010714276,0.021332288,0.009345785,-0.000463188,0,0.019933595,-0.089641413,0.015267161,-0.027272745,0,0.001949269,-0.000936351,0,0,-0.001538497
0.006851879,-0.004557902,0,0,0,-0.035344895,0,0,-0.000979454,0,0,0,0,-0.00849058,-0.001884967,0,-0.002500436,0,0,-0.009140362,0.088461549,0.014686218,-0.06321152,0.284210573,0.329462043,0,0,0.001826526,0,0.046995892,-0.046931364,-0.248275832,0.06481475,0,0,0.019543916,0.109409285,0,-0.042056058,0.000921592,0.002918355,0.000937229,0,0.001774579,-0.019003541
0.001890402,0,0,0,0,0,0,0,0,-0.000459569,0,0,0,0.004757392,0,0,0,0,-0.004545472,0.017860644,0.010600697,-0.06578949,0.063639202,-0.151639392,0.096551744,0,0,0.000911511,0.012163283,-0.048295475,-0.026515215,-0.084927957,-0.017391288,-0.001853522,-0.005208328,-0.05750801,-0.03747539,-0.00751879,-0.053658555,0,-0.003879725,0.002808964,-0.001185095,0,0.007853383
0,0,0,-0.000899301,0,-0.003574617,0,0.00097754,0.000980415,0,0,0.000929389,0,0,0.000944309,0,0,-0.014020867,0,0.011762449,-0.010489501,0.091549295,0.044497999,0.111111124,0.241090168,0.011659203,0,-0.005464432,0,-0.1208955,0,0.093669449,0.044247746,0.000928438,-0.000523522,0.020339025,-0.004098369,0.030303001,0.005154659,0.01012897,0,-0.000747,0,0,-0.005714317
0,0,0,0.000900111,0.001168373,0.001793763,-0.002780327,0,0,0,0.000901734,0,0.001385073,-0.003787875,0,0.000964342,0,0.000917452,-0.000913263,0.029540675,-0.003533566,0.07741936,0.157167496,0.03478268,0.089526981,0,0,0.004120886,0,0.202037372,0.18677044,-0.051597727,-0.025423706,0,-0.002095373,-0.003322216,0.008230469,0.007352993,0.153846154,0,0.005842207,0.001681985,0,0,0.012016795
0,0,0.000907375,0,0.003590661,0,0,0,-0.000979454,0.000459781,0,0,0,0.000475205,0.000943328,0.000963413,0,0,0,-0.032395409,0.046099332,0.029940163,-0.030845812,-0.042016865,-0.116279073,-0.011524833,0,-0.00136802,0,-0.012429447,0.114754147,0.043910527,0,0,0.128608991,0.0333333,0.028571425,-0.160583957,-0.079999966,0,-0.00484029,-0.000932857,0,0,0.00361382
0.000943328,0,0.000181311,0,0.00089439,-0.000895276,0,0.000976585,0.000980415,0,0,0.000928438,0.00138307,0.001425211,-0.000942439,0.000962394,0,0.006416104,0,-0.022383814,-0.020338963,0.093023235,-0.024897265,-0.039473647,-0.105263145,0,0,0,0,-0.009725405,0.111764666,0.003968294,-0.017391288,0,0.004651158,-0.04193552,0,0.09565215,-0.028985525,0,0,-0.002801096,-0.000638858,-0.00885743,-0.013374497
0,0.001831456,-0.000181278,0.003597119,0.000893676,0,0,0,0,0.000919139,0,0.00185533,-0.000920744,0.001897577,0,-0.000961469,0,-0.004553665,-0.000914011,0.019569472,-0.044982737,-0.095744653,0.158199475,0.013698617,-0.217647042,0,0,0,-0.011158727,0.053148475,-0.023809501,0.059815558,-0.017699098,0,-0.004629625,0.043771084,0.025793673,0.0079365,-0.039801051,0,0.005836617,-0.003745315,-0.003652965,0.004468292,0.02659021
0.003770025,0.000914098,0,0,0,0,0,0,0,-0.000918295,0,0,0,-0.000946991,0,0.000962394,0,0.006404363,0,0.004606558,-0.003623185,-0.088235348,-0.036363602,0.049549502,0.025062692,0,0,0,0,0.207350564,0.013550122,0.009447967,-0.009009,0,0.004651158,0.12903223,-0.019342341,0.007874008,-0.051813474,0,0,-0.000939871,0.001833223,0,-0.0253936
0,0,0.000906639,-0.004480304,0,0,0,0,0,0,0,0,0,-0.001895778,0.000943328,0.00048078,0.002685742,0,0.002927684,-0.024073334,0.00727272,0.019354898,-0.084669812,0.103004299,-0.090464575,0.008968644,0,0.000913263,0,0.004089057,-0.021390354,0.171921271,0,0.00185533,-0.046296361,-0.017142807,0.023668568,0.015625048,-0.071038213,0,0,0,0.003659649,0.005338116,-0.031266304
0.004694854,0,0,0,0,0,0,-0.001951264,0.000979454,0.00183819,0,0,0,0,0,0,0,-0.004545472,0.001642004,0.023296762,-0.00722021,0.139240445,0.00489561,0.019455235,0.220430088,0.021333313,0,0,0,0.039366467,-0.010929016,-0.043926021,0,0,-0.009708729,-0.008720991,-0.013487417,0.0076923,-0.111764683,0,-0.003868468,0.001881421,0.007292609,0,0.014523962
0,0,0.003623185,0,0.001785755,0,0,0,0.000978403,0.001834904,0,0.000925947,0,0.002849068,0.001885057,0.001441648,0,0.013698683,0,-0.011861468,0.258181832,0.222222281,0.038717906,-0.022900743,0.138766546,0,0,0,0,-0.043099687,-0.033149141,0.003297378,0,0.000925947,-0.014705869,0.014662743,0.015624915,0.00763358,10.9205295,0,0.000970896,0,-0.004524904,-0.000884976,-0.004772012
0,0.000913263,0,-0.00135008,-0.000891286,0,0,0,-0.000977446,-0.000915772,0,0,0,-0.001893983,-0.002351888,0,0,0,0,-0.002904192,0.034682047,-0.154545466,0.045174078,-0.011718739,0.023210809,0,0,0.001824772,0.015624943,-0.085077296,0.079999992,0.044259432,0.045454501,-0.000925091,-0.054726376,0.052023143,-0.051923041,-0.015151501,0.594444444,0,0.001939816,0,0,0.00088576,-0.019712351
0.019626172,0,-0.002707557,0,0,0,0,0,-0.000195681,0,0,-0.000925091,0,0,0,-0.000959715,0,0.013513479,0,0.015922324,-0.033519522,0.134408537,0.027869634,0.031620524,0.096408362,0,0,-0.001821449,-0.027350402,0.027846815,0.32010577,-0.013218654,0.026086932,0,0.005263153,0.186813242,0.04868158,0.0153846,-0.257839721,0,-0.00193606,-0.000938899,-0.00363636,-0.002654844,0.002173963
0,0,0,-0.000450664,0,0.000896078,0,0.001466309,0,0.001833223,0,0,0.000921592,0,0.00141446,0.003842456,0,0,-0.000910681,0.01337922,-0.20231215,3.715639954,0.079963224,0.095785444,0.139655158,0,0,0,0,0.013546235,0.062124335,-0.036359752,0.025423807,0.001851806,-0.005235597,-0.041666681,0,-0.015151501,-0.198122051,0,0.000969862,0.000939781,-0.00091243,0.002661911,0.029826422
0,0.006386833,-0.000724016,0,-0.000892081,0,0,0.000488054,0.000685063,-0.001829868,0,0,0,0,-0.000941641,-0.003827748,0,-0.028444417,0,-0.052244444,0.101449265,0.413065396,-0.028723372,-0.090909091,0.075642964,0,0,-0.003649632,0,-0.013365187,-0.028301904,-0.088261254,0.008264455,0,0.015789459,-0.057971059,-0.013539708,0,0.377049138,0,-0.001937937,-0.000938899,0.008036557,-0.001769952,-0.023170118
0,0,0.001630194,-0.000901734,0.000892878,0,0,-0.001951264,0.000488915,0,0,0,0,0.000948788,0.001885057,0.000960637,0.001785755,0.018298244,0,0.013930363,-0.019736824,0.1443812,0.072289137,0.107692392,-0.077355862,0,0,0,0.03690686,0.054668561,-0.033009723,0.053969012,-0.008196713,0,0.012953418,0.097435946,0,-0.007692361,-0.042091811,0,0.000970896,0,0,-0.001773006,0.003234576
0,0.000906639,0.001808273,0,0.002676158,0,0,0,0.00097754,0.000916611,0.004504436,0,0,-0.000947889,-0.001881511,-0.000959715,0.000891201,0,0,0.016682992,-0.053691304,-0.378495966,-0.00919307,0.253472136,-0.045731664,0,0,0.002747228,0.004237304,0.043578018,0.345381483,0.160964461,0.008264455,0,0.002557542,0.102803737,-0.019607825,0.015503923,0.375943168,0,0,0,-0.00253668,0,0.034390079
0,0,-0.002707557,0,0,0,0.00185869,0.002932619,-0.000488292,-0.000915772,0,0,0,0,0.001885057,0.000960637,0,0,0,0.004440146,0.053191524,0.356999969,0.026391727,-0.060941772,0.04472839,0,0,0,-0.017299571,0.147252764,0.09253737,-0.03995254,0.032786853,0,-0.005102036,-0.055084731,-0.004000008,-0.015267221,1.140645083,-0.006381098,-0.000969954,0,-0.00018164,0,0.00207797
0,-0.001811549,0,0,0,0,0,0.001656939,0,0.000458306,-0.002690559,0,0.000920831,0.000948788,-0.001881511,0.001919338,0,0,0.011850512,-0.042667643,0.060606082,-0.08621961,0.023302529,-0.020649018,0.085626903,0,0.000999024,0,0,-0.077394652,0.501366054,-0.075401726,0,0,-0.041025662,-0.044843072,0.004016072,0.007751992,-0.752712459,0,-0.003883491,0,0,0,-0.00881286
0,-0.006352146,0,0.002707557,0,0,0.00185533,-0.001167664,0.000488531,0,0.00449642,0.001851806,0.001839969,-0.000947889,0.000942529,-0.000957785,-0.000890407,0,-0.011711722,-0.020076289,-0.060317477,-0.182258012,-0.089320757,-0.057228862,0.059154941,0,-0.000499013,0,0,-0.060215979,-0.151956334,-0.038324447,-0.063492098,-0.000924147,-0.002673794,-0.037558692,0.001999974,0,-0.055454027,0.004587174,0,0.003759395,0.000181673,0,-0.009937266
0,0.01278542,0,-0.000900025,0,0,0,0,0,0.000916191,0,0,0.000918207,0.001897577,0,0,0,-0.010781661,0,0.001638968,0.351351334,0.090729787,-0.175253313,-0.124600668,-0.035904253,0,0.000499263,0.000913263,0,-0.015466128,-0.111587982,0.081557008,0.016949238,0,0.029490588,-0.095121963,0.02794411,-0.007692361,-0.289677429,0.003652965,0.005847901,0,0,0.002664275,-0.030110918
-0.014665431,0,0,-0.001801843,-0.002669015,0.002685742,0,-0.00146131,0,-0.001098406,0,0.000924236,-0.000917365,-0.000946991,0,0,0,-0.000908286,0,0.083452687,0.075000048,-0.173598554,0.11552541,-0.175182488,0.144827613,0,-0.000998027,0.002737202,0.021897737,0.058348258,0.158212616,0.064267352,0,0,-0.020833314,0.010781693,0.04854376,-0.007751931,-0.399636699,-0.004549608,0,0,0,0,0.004357294
0,0.019837715,0.000904998,0.00722021,0.002676158,0,0,0,0,-0.000274925,0,0,0.001836502,0.000947889,0,0.000958703,0.000891201,-0.009090944,0,-0.033415149,0.076744165,-0.070021917,0.130506084,-0.075221273,0.097590295,-0.020887709,0.000999024,0.00191082,0,-0.009329912,-0.346193964,-0.049315635,-0.008333325,0,-0.010638288,0.010666688,0.090740673,0.015625048,0.815431207,0,0.001938029,-0.002809053,0,0,-0.027657278
0.023255814,0,0.000452004,-0.003584226,0,0,0,0.002926803,0.000195298,0.001833223,0,0.000923382,0,0,0,0,0,-0.005504538,0,-0.00566408,0.047516152,0.002352995,0.200000032,0.052631645,0.119648759,0,-0.000998027,0,0,0.087328722,0.069377982,-0.033876741,-0.016806806,0.000925002,-0.005376339,0.055408964,0.045840426,0,-0.214166641,0.000914098,0.00096714,0,0,0.002657195,0.004461792
0,-0.011494263,-0.001355571,0,0,0,0,-0.001945477,-0.00019526,-0.000914934,0.002685742,0,0,-0.001893983,-0.000941641,-0.000957785,0,0.026752764,0.000911511,0.001374969,0.020618537,-0.082159654,-0.09309159,0.01363635,0.190196134,0,-0.002997072,-0.000998972,0,0.030708689,-0.123042479,-0.010300268,0.034188105,0,-0.021081099,-0.02500005,-0.009740231,0.0153846,0.071049806,0,-0.004830936,0,0,0,-0.011660244
0,0.001788864,0,0,0.0026691,0,0,0,0,0.002747228,0,0.004612564,0,0.000948788,0.000942529,0.000958703,0,0.003593887,0,0.01078853,-0.032323203,0.026854163,-0.107598513,0.363228671,-0.099670511,0,0,0,0,0.00038198,0.02551022,-0.08857396,0.041322273,0.000924236,-0.006074013,0.166666743,0.03114753,-0.00757575,-0.038613876,0,0.005825191,0,0,0,0.008988756
0,-0.006249973,0.000904998,0,-0.001774663,0,0,0,0.00039069,-0.001826439,0,-0.003673091,0,0.000473944,0,0.000478938,0,-0.006266759,0,-0.008926821,0.022964537,-0.127023604,-0.03691847,0.095394725,0.146386037,0,0,0,0,-0.128675096,-0.029850796,-0.05393589,-0.015873001,0,-0.022222202,0.04615384,-0.028616862,0.015267161,-0.071060779,0,-0.002895727,0,0.000908286,0,-0.007795067
0,0,0.003616633,0.000899301,0.003555552,0,0.009259206,0.001949269,0.000585666,0.001829781,0,0.003686632,-0.000916611,0.00142107,0.000941641,0.000478709,0.002671477,0.000900836,0.001821535,0.007636565,0.057142802,-0.156918737,0.148681563,-0.033033002,0.22426181,0,0.000501013,-0.000909112,-0.025210021,-0.040315517,-0.088888887,0.178993361,0.008064508,0,-0.028409064,-0.084033657,0.126022949,-0.01503758,-0.140798197,0,0.003872213,0,0,0.000883412,-0.019079695
0,-0.000449247,-0.002702764,0,-0.002657195,0,0,0,0.003902435,0,0,-0.003673091,0,0,0.000470378,0,0.00088812,-0.002700246,0,-0.00038866,-0.04440155,0.021996636,0.015046273,-0.102484447,0.303780952,0,0,0,0,0.643835645,-0.005628468,0.012851234,-0.023999977,0,-0.064327492,0.006880782,-0.020348834,-0.00763358,-0.140645181,0,-0.001928593,0.000938989,0,0,-0.002860368
0,-0.004044951,0,-0.001796986,0.00088812,0,0,-0.001945477,0.00097184,-0.001826439,-0.003571425,0.004608224,0,-0.001797545,-0.000470156,-0.00095696,0,0,-0.003545414,0.003110417,0.060606101,-0.091059635,0.056062349,-0.062283758,1.35,0,-0.000500763,-0.00081891,0,-0.121666643,-0.075471713,-0.135698954,-0.016393427,-0.000923382,-0.018749982,0.070615006,-0.00593473,0.030769201,0.013513537,0,-0.00028988,-0.000938108,0,-0.000882633,0.026964963
0,0,-0.000451682,0.000900111,0.000887247,0,0,0.001949269,-0.003883491,0.001829781,0.002688148,0,0.003669721,0.000853074,0,0,0,-0.000902548,0,0.026550442,0.045714242,0.087431701,0.179053392,0.118081155,-0.356382979,0,0.001002027,0,0,0.173307953,0.044897915,0.026872403,-0.016666749,0.000924236,0.070063625,0.023404271,0,-0.022388038,-0.096296296,0,0,0.000938989,-0.003629847,-0.000883328,0.013966481
0,0,0,0,-0.000886461,0,-0.000917365,0,0.002046775,-0.001826439,0,0,0,0.000473405,0.006585108,0,-0.000887332,-0.000903277,0,0.02491976,0.127504611,-0.035175807,-0.073107408,0.158415849,-0.072727298,0,-0.002001952,0,0,-0.029649556,0.068359358,-0.031257594,0,0,-0.071428576,0.039501026,0.005970161,0,-0.111475397,0,0.003189329,0,0,0.001768303,0.015978012
0,0,0,-0.000899301,0.001774579,0.002678548,0,-0.000972692,0.002820765,-0.000914934,0,0,0.001828195,0,-0.003738314,0.000957876,-0.00088812,-0.00090418,0,0.022103532,0.077544429,-0.019097245,-0.114934951,-0.034188002,0.089483077,0,0.001002936,0.000819582,-0.011206906,-0.065277735,0.087751378,-0.022261116,0,0,-0.038461503,-0.015999973,-0.062314531,-0.00763358,-0.083025829,-0.009132368,-0.000963413,0,0,-0.014121787,-0.034164916
0,0.000992751,0,0,0,0,0,0,-0.002909863,0.000915772,0.002681027,-0.002752269,0,0,-0.001407072,-0.00095696,0.000888909,-0.000904998,0,-0.005226183,0.014992489,-0.014159278,0.095627896,-0.088495629,-0.04777484,0,0,0,0.002615495,0.044279281,-0.02352939,0.02814015,-0.016949137,0,0.046666702,-0.040650427,-0.11234183,-0.015384661,-0.016096564,0,-0.001928593,0.002814234,0,0.012533603,-0.012352573
0,0,0.002259428,0,-0.001771435,0,0,0.002921103,0.000972785,-0.000914934,0,0,0.00091243,-0.001419725,-0.000469715,-0.000478847,0.00088812,0.000905818,0,-0.013405827,0.005908414,0.280071794,-0.009169654,-0.022653701,-0.319931249,0.000888909,0,0,-0.002608672,-0.038702352,-0.089500858,0,0,0,-0.070063701,-0.182203379,-0.001782508,0.007812493,0.370143107,0.124423906,-0.000966206,0,0,0,0.005116552
0,0,0,0,0.002661911,0,0,0,0,0,0,0,0.010938914,0.002843577,0.001879653,0.000479076,0,0,0.000821077,-0.014873257,0.016152736,0.141655009,0.028106311,-0.076158947,-0.469429029,0.00088812,0,0.000364028,0,0.042628848,-0.041587862,0.022144893,-0.017241363,0,-0.109589097,-0.12435235,-0.042857123,-0.015503862,-0.010447716,-0.103278709,0,0,0,0,-0.001696871
0,0.00531963,0.001803382,0,-0.001769952,0,0,0.000485448,-0.00097184,0,0,0.001839969,0,0,-0.001876126,0,0,0,-0.001823196,-0.002050338,-0.021676314,-0.017199059,-0.030505114,0.025089582,0.047619048,0,0,0,0,-0.028109076,0.082840155,-0.05111982,-0.078947399,0,0,0.047337286,-0.076492551,0.023622088,-0.030165911,0.000914098,-0.00096714,0,0.024134823,0.000884109,-0.003965988
